snr_db,cnn2_accuracy,cnn4_accuracy,delta_cnn4_minus_cnn2
-20,0.0943636363636363,0.0921818181818181,-0.0021818181818182014
-18,0.0954545454545454,0.0921818181818181,-0.003272727272727302
-16,0.0945454545454545,0.0941818181818181,-0.0003636363636363993
-14,0.1049090909090909,0.1058181818181818,0.0009090909090909011
-12,0.132,0.15,0.017999999999999988
-10,0.2183636363636363,0.2512727272727272,0.032909090909090916
-8,0.3736363636363636,0.3694545454545455,-0.00418181818181812
-6,0.5454545454545454,0.4967272727272727,-0.04872727272727273
-4,0.6590909090909091,0.6027272727272728,-0.05636363636363628
-2,0.7425454545454545,0.7029090909090909,-0.03963636363636358
0,0.7645454545454545,0.7852727272727272,0.020727272727272705
2,0.7769090909090909,0.8029090909090909,0.026000000000000023
4,0.7823636363636364,0.8169090909090909,0.034545454545454546
6,0.7843636363636364,0.8169090909090909,0.032545454545454544
8,0.7854545454545454,0.82,0.034545454545454546
10,0.7881818181818182,0.8190909090909091,0.030909090909090886
12,0.7849090909090909,0.8187272727272727,0.03381818181818186
14,0.7901818181818182,0.8265454545454546,0.036363636363636376
16,0.7876363636363637,0.8170909090909091,0.0294545454545454
18,0.7921818181818182,0.8161818181818182,0.02400000000000002
